,carat,cut,color,clarity,depth,table,x,y,z,price_predicted,cut_value
801,0.76,Premium,E,SI2,60.8,57.0,5.89,5.85,3.57,2554.3633085598594,0
802,1.03,Premium,J,VS1,61.8,58.0,6.51,6.41,3.99,4005.7320557823477,0
803,0.54,Ideal,E,SI1,61.3,56.0,5.22,5.25,3.21,1604.8396237333036,0
804,0.46,Ideal,E,VS1,60.3,56.0,5.02,5.06,3.04,1300.2179586453567,0
805,1.04,Ideal,H,SI2,62.0,57.0,6.53,6.43,4.02,4305.236029400276,0
806,0.3,Ideal,D,VS2,61.5,55.0,4.35,4.3,2.66,744.3002775617933,0
807,1.14,Ideal,H,VS2,61.1,57.0,6.71,6.78,4.12,6564.995597282379,0
808,0.32,Premium,D,VS2,58.8,59.0,4.52,4.49,2.65,680.2829357203082,0
809,1.0,Premium,H,SI1,61.5,58.0,6.37,6.45,3.94,4646.176896840836,0
810,0.32,Premium,I,VVS1,60.1,61.0,4.45,4.4,2.66,647.4433977269255,0
811,0.41,Good,F,I1,63.8,57.0,4.72,4.69,3.0,807.6229047070883,1
812,0.32,Ideal,I,VVS1,61.7,55.0,4.39,4.4,2.71,703.9386851595773,0
813,0.9,Ideal,G,VS1,61.6,55.0,6.27,6.23,3.85,4915.097215291273,0
814,0.7,Premium,F,SI1,59.4,60.0,5.77,5.74,3.42,2408.619815527585,0
815,0.3,Very Good,D,SI1,58.8,57.0,4.4,4.44,2.6,829.0383816022695,0
816,0.31,Premium,H,VVS1,61.9,58.0,4.34,4.32,2.68,699.4316680657394,0
817,0.71,Premium,D,SI1,61.3,58.0,5.73,5.75,3.52,2801.222304238767,0
818,0.7,Very Good,E,SI2,62.0,60.0,5.67,5.72,3.53,1931.8009120066781,0
819,0.32,Ideal,G,VVS1,61.7,56.0,4.37,4.41,2.71,976.8444862670185,0
820,0.91,Premium,F,SI2,60.8,59.0,6.28,6.25,3.81,3502.13752786682,0
821,0.91,Ideal,E,SI1,61.2,58.0,6.24,6.3,3.84,4371.626118871427,0
822,1.5,Premium,E,VS1,62.5,58.0,7.28,7.21,4.53,15519.560877429638,0
823,0.9,Ideal,H,SI2,62.1,55.0,6.17,6.2,3.84,3430.000962566428,0
824,0.77,Very Good,D,SI1,62.1,58.0,5.84,5.89,3.64,3359.823886767281,0
825,0.43,Premium,F,VS2,61.0,57.0,4.87,4.84,2.96,991.0052449067298,0
826,0.32,Ideal,I,VVS2,62.0,54.9,4.36,4.39,2.71,801.2655719641189,0
827,0.6,Ideal,G,VVS2,61.4,59.0,5.37,5.41,3.31,2655.845038304844,0
828,1.72,Good,J,SI2,63.2,57.0,7.56,7.6,4.79,7913.459445782677,1
829,0.32,Premium,J,VS1,61.9,58.0,4.39,4.33,2.7,487.8501319441093,0
830,1.23,Ideal,J,SI1,63.1,58.0,6.8,6.74,4.27,5074.061505641708,0
831,1.67,Ideal,H,SI1,61.6,55.0,7.68,7.62,4.71,11294.156525927134,0
832,0.4,Good,E,SI1,63.5,55.0,4.67,4.71,2.98,828.6454894987073,1
833,0.41,Ideal,F,VS1,60.6,57.0,4.84,4.79,2.92,825.6893648398691,0
834,1.24,Good,G,VS2,61.3,57.0,6.78,6.88,4.19,8523.786528707933,1
835,0.41,Very Good,H,VS2,60.0,57.0,4.92,4.88,2.94,529.1035519007,0
836,0.32,Very Good,I,VS2,63.0,55.0,4.34,4.39,2.75,663.5450273973256,0
837,0.37,Very Good,E,VS2,61.8,59.0,4.56,4.6,2.83,926.7212766895027,0
838,1.01,Good,F,VS2,60.6,62.0,6.52,6.49,3.94,5432.664513528591,1
839,1.18,Ideal,F,VVS1,61.5,55.6,6.79,6.83,4.19,12300.64818999595,0
840,0.32,Good,F,SI1,63.2,55.0,4.37,4.4,2.77,741.20518614104,1
841,0.75,Ideal,I,VS1,61.1,59.0,5.85,5.87,3.58,2378.629367684862,0
842,0.3,Very Good,G,VVS2,61.6,56.0,4.27,4.3,2.64,918.5552275039008,0
843,0.7,Very Good,D,VS1,61.6,58.0,5.67,5.73,3.51,3722.436752120462,0
844,1.06,Very Good,I,VS1,58.5,58.3,6.66,6.79,3.94,5181.3779284031625,0
845,1.08,Premium,E,SI2,60.8,59.0,6.57,6.62,4.01,5176.754433246526,0
846,0.26,Ideal,G,IF,61.7,54.0,4.15,4.18,2.57,722.9242389716273,0
847,0.3,Very Good,H,VVS1,63.3,59.0,4.28,4.22,2.69,483.09743030255413,0
848,0.72,Ideal,F,SI2,61.9,54.0,5.83,5.73,3.57,2225.8230657938548,0
849,0.38,Ideal,D,VS1,62.2,57.0,4.66,4.63,2.89,697.2945540500004,0
850,0.81,Premium,F,SI1,61.9,58.0,5.99,5.96,3.7,3117.5501904476296,0
851,1.47,Very Good,H,SI2,59.1,56.0,7.46,7.51,4.42,8100.251285963604,0
852,1.01,Good,F,SI2,62.5,59.0,6.31,6.37,3.96,4273.332811257107,1
853,1.24,Fair,G,SI2,65.7,57.0,6.72,6.68,4.4,5178.2700001232915,1
854,0.72,Very Good,G,SI2,62.5,56.0,5.68,5.71,3.56,2137.1096173116166,0
855,0.51,Ideal,F,VS1,60.4,56.0,5.18,5.21,3.14,1635.4903440631388,0
856,0.33,Ideal,J,VVS1,62.1,54.0,4.45,4.47,2.77,697.1187677578819,0
857,2.03,Ideal,G,SI1,60.0,55.8,8.17,8.3,4.95,16649.426348293506,0
858,0.39,Very Good,J,VVS1,57.8,59.0,4.85,4.9,2.82,680.5296444121559,0
859,0.3,Very Good,G,VS2,60.8,61.0,4.31,4.34,2.63,92.55969669897604,0
860,0.55,Ideal,D,VS2,58.5,58.0,5.42,5.39,3.16,1737.0835024609332,0
861,1.0,Premium,E,I1,62.3,58.0,6.38,6.33,3.96,3229.586349895751,0
862,2.0,Good,I,VS2,63.6,60.0,8.03,7.95,5.08,14274.056136756084,1
863,1.0,Good,D,SI1,63.8,53.0,6.35,6.4,4.07,5065.269367887646,1
864,0.32,Ideal,J,VS1,62.0,54.7,4.39,4.42,2.73,645.3692217812204,0
865,0.4,Premium,G,VS1,60.7,58.0,4.81,4.78,2.91,687.705132203133,0
866,1.01,Good,D,SI1,64.1,60.0,6.3,6.27,4.03,5041.263890471833,1
867,0.3,Very Good,H,SI1,63.0,54.0,4.27,4.3,2.7,565.333232094039,0
868,0.7,Very Good,H,SI1,58.5,65.0,5.81,5.84,3.41,2022.2572104147985,0
869,0.71,Very Good,E,VVS1,62.8,59.0,5.66,5.71,3.57,4845.4706634167305,0
870,0.83,Ideal,E,SI1,61.5,55.0,6.05,6.08,3.73,3720.721811478008,0
871,0.31,Ideal,I,VVS1,62.1,56.0,4.38,4.35,2.71,498.0509740786947,0
872,0.71,Premium,E,VS2,62.1,59.0,5.68,5.72,3.54,3176.8323826339692,0
873,0.91,Very Good,H,VS1,62.7,63.0,6.1,6.03,3.8,4110.793186942687,0
874,0.9,Premium,G,VS2,62.0,60.0,6.19,6.14,3.82,4903.024499307196,0
875,0.41,Premium,G,VS1,61.9,60.0,4.76,4.7,2.93,714.9247176134304,0
876,0.41,Premium,F,VVS2,60.1,59.0,4.79,4.82,2.89,1258.2207417925965,0
877,0.7,Very Good,F,SI1,59.2,60.0,5.77,5.79,3.42,2456.767461667241,0
878,1.02,Ideal,I,VS2,62.7,56.0,6.37,6.43,4.01,4586.328293903829,0
879,0.71,Ideal,G,SI2,61.5,55.0,5.74,5.78,3.54,2083.496532097568,0
880,0.51,Ideal,D,VS2,62.7,55.0,5.12,5.09,3.2,1556.8204549863003,0
881,1.03,Ideal,G,VVS2,61.6,56.0,6.48,6.5,4.0,7601.577082362815,0
882,0.9,Very Good,G,VVS1,62.3,58.0,6.14,6.21,3.85,6197.888262417964,0
883,0.3,Ideal,D,VS2,61.1,56.0,4.36,4.32,2.65,710.5601980660213,0
884,1.05,Very Good,G,VS2,61.7,55.0,6.5,6.56,4.03,6760.847020927278,0
885,1.3,Ideal,H,VVS2,61.5,55.0,7.07,7.03,4.34,8824.42834613542,0
886,0.36,Ideal,G,VVS1,62.8,57.0,4.55,4.52,2.85,785.4574730444947,0
887,0.51,Very Good,G,VVS1,62.9,57.0,5.08,5.12,3.21,1818.706539055278,0
888,1.08,Very Good,J,SI2,63.2,59.0,6.57,6.4,4.1,3468.674327711673,0
889,2.2,Premium,I,VS2,62.0,57.0,8.38,8.34,5.18,17394.869665688384,0
890,0.3,Ideal,F,IF,62.1,57.0,4.29,4.31,2.67,768.0540359623046,0
891,0.3,Very Good,E,VVS2,62.9,55.0,4.25,4.27,2.68,786.9679701698551,0
892,1.46,Premium,D,SI2,62.0,55.0,7.32,7.23,4.51,8814.540891668841,0
893,0.54,Ideal,G,VS1,60.1,57.0,5.29,5.31,3.18,1746.0970864937808,0
894,0.58,Very Good,E,SI1,59.6,57.0,5.41,5.42,3.23,1857.9074060908279,0
895,2.01,Premium,I,SI1,61.3,60.0,8.09,8.05,4.95,14246.484207207293,0
896,0.43,Very Good,D,SI1,62.9,56.0,4.78,4.83,3.02,1069.4133104268585,0
897,2.3,Ideal,H,SI2,61.6,56.0,8.48,8.52,5.24,15491.048492298109,0
898,0.91,Premium,I,VS1,61.9,57.0,6.24,6.19,3.85,3665.208358792628,0
899,0.4,Ideal,F,SI2,62.0,57.0,4.7,4.72,2.92,123.92685075747067,0
900,1.0,Ideal,E,SI1,61.6,57.0,6.37,6.45,3.95,5534.322808796769,0
901,0.41,Premium,G,VS2,61.9,59.0,4.77,4.73,2.94,658.990277135319,0
902,0.35,Ideal,H,VVS1,60.5,57.0,4.58,4.59,2.77,815.7731437317307,0
903,1.1,Very Good,G,IF,60.5,55.0,6.77,6.71,4.08,8989.419687690952,0
904,0.3,Premium,G,SI1,62.5,61.0,4.29,4.26,2.67,217.13107187494097,0
905,0.31,Ideal,G,VVS2,60.8,56.0,4.41,4.44,2.69,678.000674296436,0
906,0.94,Premium,F,SI2,62.4,58.0,6.23,6.17,3.87,3851.92774578217,0
907,0.72,Good,G,SI2,63.7,59.0,5.74,5.65,3.63,1513.6346707572775,1
908,0.7,Very Good,F,SI1,60.6,60.0,5.71,5.75,3.47,2379.574802674193,0
909,0.24,Ideal,H,VS2,61.1,56.0,3.99,4.03,2.45,100.8317252424913,0
910,0.57,Very Good,E,VS2,59.5,56.0,5.45,5.47,3.25,1883.318163456781,0
911,0.71,Premium,I,SI1,61.7,56.0,5.73,5.71,3.53,1872.1662316726652,0
912,0.79,Ideal,H,VVS2,62.0,55.9,5.88,5.95,3.67,3807.0061125568936,0
913,0.3,Premium,G,VS1,59.6,59.0,4.38,4.34,2.6,703.8456967030725,0
914,0.52,Premium,E,VS2,61.6,59.0,5.16,5.14,3.17,1455.0926303626184,0
915,1.22,Very Good,F,VVS2,60.7,62.0,6.81,6.84,4.14,11763.64394757745,0
916,1.0,Good,D,SI1,64.9,53.0,6.27,6.3,4.08,5145.817523541875,1
917,0.3,Good,H,VVS1,63.4,57.0,4.27,4.31,2.72,607.8881016108899,1
918,0.3,Good,E,VS2,64.2,57.0,4.24,4.13,2.69,-144.1386321668865,1
919,0.51,Premium,E,VS2,60.5,56.0,5.24,5.18,3.15,1280.3339154267815,0
920,1.22,Ideal,H,VVS2,62.7,54.0,6.77,6.83,4.27,8296.25478000149,0
921,0.56,Ideal,D,VS2,61.2,56.0,5.3,5.35,3.26,2119.659001201391,0
922,0.53,Ideal,E,VS2,61.4,56.0,5.18,5.25,3.2,1839.7786423582875,0
923,0.58,Ideal,E,VS2,61.8,57.0,5.32,5.36,3.3,2141.713860187723,0
924,0.73,Premium,I,VS1,61.2,59.0,5.84,5.82,3.57,2043.5457506335515,0
925,1.13,Ideal,F,I1,62.2,55.0,6.68,6.63,4.14,3790.6026494916623,0
926,0.7,Very Good,F,VS1,60.5,57.0,5.77,5.8,3.5,3127.221407653087,0
927,0.59,Ideal,D,IF,60.7,58.0,5.45,5.49,3.32,4416.689879545964,0
928,0.5,Ideal,G,VVS1,62.2,55.0,5.09,5.11,3.17,1768.7411414029739,0
929,1.07,Very Good,G,VVS2,62.8,57.0,6.46,6.56,4.09,8304.913860291686,0
930,0.42,Ideal,G,VVS2,62.1,57.0,4.8,4.77,2.97,1063.9230073013605,0
931,0.27,Ideal,G,VS1,62.3,53.0,4.16,4.19,2.6,879.4495392787503,0
932,1.51,Premium,H,VS1,61.0,60.0,7.29,7.34,4.46,11228.468062723678,0
933,1.33,Premium,G,SI2,59.2,62.0,7.22,7.16,4.26,6560.351442546431,0
934,0.53,Ideal,G,VVS1,61.4,57.0,5.18,5.21,3.19,2144.0391935006446,0
935,0.43,Ideal,F,VVS2,61.9,56.0,4.84,4.82,2.99,1275.642438889081,0
936,0.4,Premium,G,VS1,61.3,60.0,4.71,4.66,2.87,877.013093715701,0
937,0.9,Very Good,F,SI2,62.0,59.0,6.2,6.1,3.81,3360.8823169454554,0
938,2.07,Fair,D,SI2,64.5,60.0,7.99,7.88,5.12,15016.823685195075,1
939,1.51,Premium,G,VS2,59.2,61.0,7.48,7.44,4.42,11716.948254104853,0
940,0.32,Ideal,F,SI1,61.6,55.0,4.41,4.45,2.73,756.0680184367775,0
941,0.5,Premium,E,SI1,62.3,60.0,5.16,5.08,3.19,687.7149421079557,0
942,0.9,Good,G,VS1,61.0,62.0,6.16,6.24,3.78,4942.552316230872,1
943,0.71,Fair,D,SI1,66.3,56.0,5.61,5.49,3.68,2213.4033571532564,1
944,1.21,Good,H,SI1,63.8,64.0,6.72,6.63,4.26,5780.202628991101,1
945,0.32,Premium,E,SI1,62.2,58.0,4.39,4.36,2.72,574.9714355963115,0
946,0.7,Very Good,F,VS2,61.7,63.0,5.61,5.64,3.47,2932.3882925456564,0
947,0.42,Ideal,E,VS1,61.6,57.0,4.8,4.84,2.97,1075.4698625339151,0
948,0.92,Very Good,G,SI2,59.4,62.0,6.34,6.36,3.77,3224.068662173384,0
949,1.0,Premium,H,SI2,60.0,62.0,6.53,6.51,3.91,3668.790671717239,0
950,1.09,Ideal,I,VS2,61.8,57.0,6.55,6.59,4.06,5253.097775731825,0
951,0.56,Premium,I,VVS1,60.6,59.0,5.29,5.33,3.22,1749.371718385315,0
952,1.01,Fair,E,VS2,66.6,55.0,6.27,6.2,4.15,6054.140276649716,1
953,2.02,Premium,J,VS2,62.0,59.0,8.06,8.08,5.0,12795.47574120128,0
954,0.3,Very Good,E,SI2,58.8,60.0,4.39,4.42,2.59,810.2489883871931,0
955,1.03,Very Good,D,SI2,61.3,61.0,6.46,6.49,3.97,4643.348581934355,0
956,0.62,Premium,G,VS2,61.1,59.0,5.56,5.5,3.38,2220.260471993084,0
957,0.83,Good,J,SI1,63.8,58.0,5.97,5.95,3.8,1962.123056638764,1
958,0.9,Premium,F,SI2,58.9,59.0,6.31,6.26,3.7,3589.9992442106504,0
959,2.04,Very Good,I,SI1,63.1,58.0,8.06,7.99,5.06,14533.585064089351,0
960,0.9,Good,D,SI2,63.8,58.0,6.13,6.09,3.9,3137.3280574393284,1
961,1.11,Ideal,H,SI1,61.6,56.0,6.69,6.73,4.07,5381.722808962808,0
962,0.51,Ideal,F,VVS1,61.4,56.0,5.15,5.17,3.17,2189.448843829967,0
963,0.28,Good,F,VVS2,64.9,57.0,4.13,4.16,2.69,356.341547174743,1
964,0.52,Very Good,E,VS2,62.5,56.0,5.15,5.18,3.23,1473.9822695325056,0
965,1.2,Ideal,F,VS2,62.3,56.0,6.82,6.79,4.24,8883.36591721177,0
966,0.29,Ideal,F,VS2,61.6,56.0,4.28,4.32,2.65,705.4999146334085,0
967,1.52,Very Good,I,VS2,63.3,61.0,7.27,7.23,4.59,9284.028839143622,0
968,1.01,Good,D,SI1,63.1,60.0,6.32,6.39,4.01,5150.467861561301,1
969,1.2,Ideal,F,SI1,61.5,53.0,6.87,6.9,4.24,7286.422238433577,0
970,0.5,Ideal,F,VVS2,62.2,54.0,5.07,5.12,3.17,2015.0195777598346,0
971,0.35,Ideal,E,VS2,61.6,56.0,4.54,4.52,2.79,800.7717001761193,0
972,0.53,Ideal,E,VS2,61.5,56.0,5.18,5.23,3.2,1814.1342346154634,0
973,0.55,Ideal,F,VS2,60.9,57.0,5.3,5.34,3.24,1600.490628508669,0
974,2.07,Ideal,J,VVS2,62.7,54.0,8.17,8.12,5.11,15419.42156685131,0
975,2.01,Premium,E,SI2,58.7,54.0,8.27,8.2,4.83,14993.82670573334,0
976,0.3,Very Good,D,SI2,61.8,58.0,4.29,4.32,2.66,607.21367360984,0
977,0.74,Ideal,G,VVS2,60.9,58.0,5.85,5.88,3.57,3838.670713255884,0
978,1.02,Very Good,G,SI1,63.0,55.0,6.4,6.45,4.05,5032.947052713513,0
979,2.0,Premium,I,VS1,61.1,58.0,8.08,8.11,4.95,15784.250679967961,0
980,1.51,Premium,J,VVS2,62.6,59.0,7.33,7.31,4.58,8766.951120215686,0
981,0.3,Ideal,F,SI1,60.6,57.0,4.34,4.37,2.64,777.5459336918284,0
982,0.57,Ideal,E,VS1,61.0,56.0,5.38,5.4,3.29,1961.9084014913606,0
983,2.15,Ideal,I,SI1,62.5,57.0,8.2,8.16,5.11,16065.28110586699,0
984,0.97,Premium,F,SI2,61.9,58.0,6.31,6.35,3.92,4152.208057705091,0
985,1.2,Premium,D,SI2,62.0,58.0,6.84,6.77,4.22,6140.476522327755,0
986,0.26,Ideal,G,SI1,62.2,54.0,4.11,4.12,2.56,766.0161445722333,0
987,1.51,Premium,G,VS2,62.5,59.0,7.34,7.28,4.57,11607.673225055521,0
988,0.31,Ideal,E,VS2,60.5,56.0,4.41,4.38,2.66,799.931019836964,0
989,0.79,Premium,H,SI2,62.8,57.0,5.91,5.88,3.7,2351.1676273846933,0
990,0.77,Premium,G,SI2,61.2,58.0,5.99,5.96,3.64,1979.8027917253385,0
991,0.57,Good,F,VS1,60.0,61.0,5.35,5.38,3.22,1853.983338168051,1
992,0.27,Ideal,G,VVS2,62.8,56.0,4.12,4.16,2.6,644.4857930617763,0
993,0.52,Ideal,G,VVS2,61.0,56.0,5.24,5.18,3.18,1637.1365852227646,0
994,0.43,Ideal,G,IF,61.2,57.0,4.81,4.86,2.96,1695.3196785347973,0
995,0.6,Ideal,G,VVS2,62.0,57.0,5.41,5.46,3.37,2427.874545651717,0
996,0.36,Premium,D,SI2,61.5,60.0,4.54,4.6,2.81,616.1230906060118,0
997,0.54,Ideal,E,VVS2,62.2,54.0,5.23,5.26,3.26,2371.8808177012106,0
998,0.9,Good,J,SI2,63.9,56.0,6.17,6.1,3.92,2383.190418277016,1
999,1.0,Premium,G,SI2,62.9,60.0,6.35,6.3,3.98,3739.1455311410464,0
1000,1.03,Very Good,G,SI1,62.6,56.0,6.41,6.44,4.02,5192.58439801768,0
1001,0.53,Very Good,F,SI1,62.5,57.0,5.19,5.24,3.26,1088.5876458316197,0
1002,0.4,Ideal,G,VVS1,62.0,55.0,4.74,4.78,2.95,1092.785867717459,0
1003,0.64,Premium,H,SI1,60.0,59.0,5.63,5.57,3.36,1622.861055973728,0
1004,0.35,Very Good,H,VS2,60.1,56.0,4.61,4.64,2.78,385.61357469149516,0
1005,0.9,Premium,H,SI2,59.5,60.0,6.32,6.29,3.75,3085.298719006245,0
1006,1.09,Good,H,SI1,63.2,57.0,6.54,6.57,4.14,4910.630310224318,1
1007,0.73,Ideal,I,SI1,61.7,55.0,5.78,5.82,3.58,2074.159941702983,0
1008,0.9,Very Good,F,VS2,63.1,59.0,6.13,6.05,3.84,4890.89176013531,0
1009,1.06,Ideal,I,SI2,61.9,59.0,6.47,6.52,4.02,4024.727868396316,0
1010,0.7,Premium,F,VS2,60.6,58.0,5.8,5.72,3.49,2543.1494617641583,0
1011,1.01,Very Good,H,SI1,61.8,61.0,6.4,6.47,3.98,4463.482883110286,0
1012,0.96,Premium,G,SI2,59.3,58.0,6.49,6.43,3.83,3636.8140183580035,0
1013,0.49,Very Good,H,VVS2,62.3,57.0,5.02,5.05,3.14,1417.3568170017898,0
1014,1.06,Ideal,I,VVS1,60.2,57.0,6.62,6.66,4.0,5750.242532986795,0
1015,0.54,Good,D,SI1,63.7,57.0,5.22,5.14,3.3,1149.0067687967712,1
1016,0.52,Very Good,E,SI2,62.6,58.0,5.11,5.14,3.21,1050.9096718099572,0
1017,0.41,Ideal,E,VS1,62.1,56.0,4.78,4.75,2.96,835.0308435271872,0
1018,0.5,Good,E,VVS2,61.6,62.0,5.04,5.09,3.12,1987.801779430014,1
1019,1.06,Ideal,I,SI2,62.7,58.0,6.48,6.5,4.07,3884.4330263744196,0
1020,0.44,Ideal,E,SI1,61.1,56.0,4.92,4.9,3.0,976.2871010388735,0
1021,0.73,Ideal,F,VS1,62.6,56.0,5.73,5.71,3.58,3600.9653348915162,0
1022,0.56,Ideal,D,VS2,61.9,57.0,5.26,5.3,3.27,2084.736121813701,0
1023,0.42,Very Good,D,SI2,63.1,56.0,4.8,4.74,3.01,725.9181232808551,0
1024,0.81,Very Good,F,VVS2,63.1,56.0,5.99,5.9,3.75,4988.275211111759,0
1025,0.72,Ideal,I,VS2,61.8,56.0,5.72,5.77,3.56,2200.7344271567563,0
1026,0.41,Ideal,D,VS2,62.4,55.0,4.76,4.79,2.98,1069.6050399512242,0
1027,1.01,Very Good,I,SI1,63.3,59.0,6.26,6.22,3.95,4199.714909231538,0
1028,1.13,Ideal,E,I1,62.0,55.0,6.66,6.7,4.14,3926.34117350174,0
1029,1.53,Premium,F,VS2,58.5,60.0,7.62,7.56,4.44,13311.357745163848,0
1030,0.72,Ideal,H,VVS1,62.5,57.0,5.7,5.73,3.57,3301.057224968481,0
1031,0.7,Very Good,E,SI2,59.5,56.0,5.79,5.81,3.45,2282.8734212406744,0
1032,1.09,Very Good,G,VS2,60.9,56.0,6.67,6.7,4.07,7071.295039671108,0
1033,1.22,Very Good,I,VS1,61.6,60.0,6.86,6.8,4.21,6534.612721174024,0
1034,0.31,Ideal,D,VS1,60.5,55.0,4.43,4.39,2.67,750.131725268031,0
1035,0.42,Ideal,G,IF,62.7,56.0,4.76,4.77,2.99,1416.0065238106836,0
1036,0.3,Premium,F,VS2,60.7,58.0,4.35,4.32,2.63,665.2057265399271,0
1037,1.31,Premium,J,SI1,60.7,58.0,7.11,7.06,4.3,5595.916208207305,0
1038,1.01,Good,F,SI2,64.3,59.0,6.33,6.26,4.05,4033.6404188541583,1
1039,1.26,Premium,H,SI2,61.3,57.0,6.96,6.87,4.24,6185.762427951978,0
1040,2.23,Premium,J,SI2,60.5,61.0,8.47,8.4,5.1,12726.00253413209,0
1041,0.72,Good,F,SI1,60.4,61.0,5.75,5.8,3.49,2478.0647789027644,1
1042,1.0,Fair,F,VS2,64.7,59.0,6.22,6.15,4.0,5667.140191516137,1
1043,0.53,Good,I,VS1,64.3,55.0,5.17,5.13,3.31,544.5375319755003,1
1044,2.01,Very Good,G,SI1,63.1,59.0,8.03,7.98,5.05,15917.861568166969,0
1045,0.32,Ideal,D,VVS2,61.3,55.8,4.43,4.44,2.71,785.8939620271994,0
1046,1.04,Ideal,H,SI1,62.7,54.0,6.51,6.47,4.07,4695.925184934829,0
1047,1.22,Ideal,G,IF,61.7,56.0,6.87,6.91,4.25,11191.19489652096,0
1048,1.0,Good,H,SI1,63.7,60.0,6.33,6.3,4.02,4000.157471159113,1
1049,0.31,Ideal,D,IF,61.1,56.0,4.39,4.42,2.69,1205.6856960488076,0
1050,2.01,Premium,H,VS2,62.8,58.0,7.99,7.9,4.99,15484.786818709159,0
1051,0.36,Ideal,F,VS1,61.3,54.0,4.63,4.65,2.84,741.7491560497801,0
1052,0.39,Very Good,I,VVS2,62.7,58.0,4.65,4.67,2.92,617.800366411564,0
1053,0.33,Premium,G,VS1,61.6,58.0,4.44,4.39,2.72,678.4972557129222,0
1054,0.32,Premium,I,IF,60.3,58.0,4.45,4.41,2.67,739.4038122680831,0
1055,0.4,Ideal,F,SI2,62.1,54.0,4.75,4.78,2.96,265.91135499949814,0
1056,1.0,Very Good,D,SI1,62.1,61.0,6.3,6.32,3.92,5776.888932251259,0
1057,0.33,Fair,H,VVS2,65.1,59.0,4.4,4.32,2.84,-32.01521816067543,1
1058,1.5,Ideal,G,VS1,61.3,56.0,7.41,7.37,4.53,12942.517649818248,0
1059,0.81,Very Good,I,VS1,63.2,59.0,5.9,5.84,3.71,2861.3303577341794,0
1060,0.32,Very Good,G,VVS1,60.9,57.0,4.41,4.44,2.69,912.5026976877562,0
1061,1.11,Very Good,H,VS1,63.2,57.0,6.61,6.53,4.15,6179.538844986419,0
1062,0.5,Ideal,H,VS2,60.8,56.0,5.17,5.19,3.14,1177.1616558007863,0
1063,0.33,Good,I,VS1,63.1,56.0,4.38,4.4,2.77,755.4873947819942,1
1064,0.27,Fair,E,VS1,66.4,58.0,3.99,4.02,2.66,169.91299981813063,1
1065,1.7,Ideal,H,I1,61.3,55.0,7.7,7.63,4.7,6188.898435749595,0
1066,0.4,Very Good,E,SI1,60.8,62.0,4.72,4.76,2.88,800.3885499255739,0
1067,1.51,Good,E,SI2,63.1,58.0,7.28,7.31,4.6,8838.3991350135,1
1068,0.3,Very Good,E,VS2,61.9,61.0,4.28,4.32,2.66,546.5804019616407,0
1069,0.64,Very Good,D,SI1,63.7,54.0,5.47,5.52,3.5,2249.906301155337,0
1070,0.9,Good,F,SI1,62.8,64.0,6.18,5.99,3.82,3275.512866440051,1
1071,1.0,Very Good,H,SI2,60.2,61.0,6.44,6.48,3.89,3855.389282500484,0
1072,1.01,Ideal,D,VS2,59.8,56.0,6.49,6.52,3.89,7235.740853378069,0
1073,0.41,Very Good,E,SI1,62.9,57.0,4.72,4.76,2.98,837.4786444118618,0
1074,1.0,Fair,F,VS2,68.4,58.0,5.97,6.1,4.13,5903.676410648022,1
1075,0.31,Very Good,G,SI1,61.5,59.0,4.34,4.38,2.68,564.281901657243,0
1076,1.03,Very Good,D,SI2,61.8,60.0,6.42,6.45,3.98,4777.651319318797,0
1077,1.03,Premium,H,SI1,61.9,58.0,6.49,6.43,4.0,4591.822359886748,0
1078,0.91,Premium,G,VVS2,61.8,58.0,6.24,6.16,3.83,5774.345326701274,0
1079,0.31,Very Good,E,VVS1,60.0,56.0,4.45,4.49,2.68,795.9974977500169,0
1080,0.8,Very Good,E,SI1,62.9,60.0,5.87,5.89,3.7,3373.0059439110883,0
1081,1.02,Very Good,D,SI1,62.7,60.0,6.34,6.39,3.99,5933.910618765396,0
1082,1.0,Ideal,G,VS1,62.5,54.0,6.41,6.45,4.02,6350.367569605056,0
1083,0.34,Premium,D,SI1,62.8,58.0,4.48,4.44,2.8,482.6575101823146,0
1084,1.0,Ideal,G,VS2,62.3,54.0,6.42,6.38,3.99,6127.169642505798,0
1085,0.73,Ideal,G,VS2,61.7,56.0,5.79,5.81,3.58,3421.557944876433,0
1086,0.34,Good,E,SI1,63.3,57.0,4.44,4.47,2.82,568.4280300100727,1
1087,1.0,Premium,J,SI1,62.8,59.0,6.37,6.27,3.97,3294.864160219844,0
1088,0.54,Ideal,G,VS1,61.8,55.3,5.22,5.24,3.23,1797.3572255972322,0
1089,1.02,Very Good,F,SI2,60.9,58.0,6.43,6.55,3.95,4705.655847967002,0
1090,0.8,Very Good,G,VVS2,62.5,56.0,5.95,5.98,3.73,4501.887762850816,0
1091,0.31,Very Good,H,SI1,61.0,61.0,4.33,4.39,2.66,641.9285008245788,0
1092,2.0,Premium,D,SI2,61.6,59.0,8.2,8.09,5.02,14158.564855797307,0
1093,1.5,Premium,J,VVS2,61.5,60.0,7.31,7.27,4.48,8831.687367168463,0
1094,1.22,Premium,I,SI2,62.5,58.0,6.8,6.76,4.24,5150.154364845126,0
1095,0.72,Very Good,I,VS2,61.8,60.0,5.72,5.76,3.55,1953.3083374454545,0
1096,0.3,Good,G,SI2,63.3,57.0,4.25,4.28,2.7,717.9508102800428,1
